346753,3974683:527500,3570474
3718952,2421864:3871651,2935623
919295,2535231:527500,3570474
3982082,2935124:3871651,2935623
3693260,3095908:3669901,3086819
3273954,2072378:3275433,2000000
2936799,2402146:2472215,2601723
3153125,3571786:3669901,3086819
3892050,3718400:3871651,2935623
1670487,618098:-171619,497931
277848,3523156:527500,3570474
3412305,198361:3275433,2000000
2324630,2084344:2472215,2601723
3718763,3088136:3669901,3086819
303245,10539:-171619,497931
3230426,1961497:3275433,2000000
3616662,3171194:3669901,3086819
3673367,3084002:3669901,3086819
3350734,2116841:3275433,2000000
1348476,3646233:527500,3570474
2817552,1654754:3275433,2000000
22462,1187401:-171619,497931
3982255,1687776:3275433,2000000
3995256,2821993:3871651,2935623
501107,3777047:527500,3570474
2507803,2761101:2472215,2601723
2252560,2800057:2370240,2923480
3536077,2843837:3669901,3086819
533494,3224642:527500,3570474
2962174,3016018:2370240,2923480
177378,3319282:527500,3570474
2074019,3934937:2370240,2923480
2295953,3295493:2370240,2923480
